Likes,talking_about_count,were_here_count,State,Sunshine,,State,name,Academics,Athletics,Campus Dining,Campus Housing,Campus Strictness,Computers,Diversity,Drug Safety,Facilities,Girls,Greek Life,Guys,Health & Safety,Local Atmosphere,Nightlife,Off-Campus Dining,Off-Campus Housing,Parking,Transportation,Weather,Difference from Mean,Sum,Sum of Squares,Well-being
83995,7184,165813,Massachusetts,2634,,Massachusetts,Boston College,11,11,10,7,6,10,6,4,7,10,11,9,11,9,9,8,3,9,7,,0.07427,5.44951,30.61831,5.44951
14834,739,59263,Massachusetts,2634,,Massachusetts,Brandeis University,11,5,9,7,11,8,10,7,6,6,6,8,6,7,8,6,6,9,4,,0.10382,5.47906,30.96457,5.47906
77140,1064,27966,California,3055,,Rhode Island,Brown University,12,5,10,8,12,9,11,6,8,11,7,10,8,9,9,11,9,3,9,5,0.07483,5.45007,30.70947,5.45007
62239,2499,0,Pennsylvania,2614,,California,California Institute of Technology,12,4,5,9,10,12,11,11,9,4,6,5,9,5,9,2,8,6,11,,0.08185,5.45709,30.70341,5.45709
13296,893,38684,Ohio,2183,,Pennsylvania,Carnegie Mellon University,11,5,7,7,10,12,11,7,8,6,9,7,9,10,9,9,10,5,8,4,0.08797,5.46321,30.7608,5.46321
41762,1723,79011,Virginia,2829,,Ohio,Case Western Reserve University,11,7,9,5,10,11,9,6,6,6,12,6,7,9,9,9,10,5,10,4,0.01934,5.39458,30.14506,5.39458
126212,2224,0,New York,2120,,Virginia,College of William and Mary,11,6,6,6,10,8,9,7,9,8,11,9,9,7,8,8,8,3,8,7,0.06023,5.43547,30.52991,5.43547
163351,3614,192302,New York,2120,,New York,Columbia University,12,5,9,6,10,8,11,6,8,7,7,7,8,12,11,11,5,3,9,6,0.01947,5.39471,30.00498,5.39471
23741,2137,0,New Hampshire,2519,,New York,Cornell University,12,7,11,8,10,9,10,5,11,9,9,9,7,8,10,11,8,4,8,4,0.05069,5.42593,30.37082,5.42593
221857,1862,0,North Carolina,2651,,New Hampshire,Dartmouth College,12,7,9,10,11,11,9,4,11,9,12,9,9,6,5,6,7,3,8,6,0.05249,5.42773,30.32294,5.42773
46126,1781,78507,Georgia,2986,,North Carolina,Duke University,12,12,10,8,11,12,9,4,12,9,10,10,7,8,10,10,9,7,7,9,0.03452,5.40976,29.93589,5.40976
